station_id,turbine_type,rotor_diameter,hub_height,cut_in,cut_out,rated_wind_speed,park_age,altitude,most_important_static_feature,most_important_static_weight,most_important_past_feature,most_important_past_weight,most_important_future_feature,most_important_future_weight,in_sample
00298,Vestas V90,90.0,95,4.0,25.0,13.0,12.750171115674195,3.0,park_age,0.3801283836364746,power,0.5493272542953491,wind_speed_h127,0.5323646068572998,True
02907,Vestas V112-3.45,112.0,119,3.0,25.0,13.0,4.511978097193703,7.0,rotor_diameter,0.3336317837238312,power,0.5521482229232788,wind_speed_h127,0.5612262487411499,True
02564,Vestas V112-3.45,112.0,119,3.0,25.0,13.0,12.046543463381246,28.0,park_age,0.2604141533374786,power,0.5615374445915222,wind_speed_h127,0.5374907851219177,True
05930,Vestas V90,90.0,95,4.0,25.0,13.0,24.331279945242983,1.0,hub_height,0.3756102323532104,power,0.4537003934383392,wind_speed_h127,0.419761449098587,True
15813,Vestas V80-1.8,80.0,78,4.0,25.0,15.0,9.481177275838467,40.0,rotor_diameter,0.3704219162464142,power,0.5720862150192261,wind_speed_h127,0.5795838236808777,True
02932,Enercon E-70 E4 2.300,71.0,57,2.5,34.0,15.0,16.83230663928816,131.0,cut_in,0.280617356300354,power,0.4722775816917419,wind_speed_h127,0.4449202120304107,True
01759,Enercon E-70 E4 2.300,71.0,57,2.5,34.0,15.0,21.048596851471597,11.0,hub_height,0.5580863356590271,power,0.4739592373371124,wind_speed_h127,0.3950105309486389,True
07403,Enercon E-115 2.500,115.0,149,3.0,34.0,12.0,20.56399726214921,672.0,cut_in,0.3005311489105224,power,0.5132771134376526,wind_speed_h127,0.5204182863235474,True
05404,Enercon E-70 E4 2.300,71.0,57,2.5,34.0,15.0,22.203969883641346,477.0,cut_in,0.3718584179878235,power,0.5509030818939209,wind_speed_h127,0.4992502629756927,True
00662,Enercon E-82 E2 2.000,82.0,138,2.0,34.0,12.5,29.984941820670773,81.0,cut_out,0.5680497288703918,power,0.5097246170043945,wind_speed_h127,0.5271000266075134,True
00596,Vestas V80-1.8,80.0,78,4.0,25.0,15.0,19.550992470910334,15.0,hub_height,0.3406749665737152,power,0.4847089052200317,wind_speed_h127,0.4271552562713623,True
03098,Enercon E-82 E2 2.000,82.0,138,2.0,34.0,12.5,35.49075975359343,387.0,cut_out,0.5940093398094177,power,0.5900536179542542,wind_speed_h127,0.5503117442131042,True
04642,Vestas V80-1.8,80.0,78,4.0,25.0,15.0,10.047912388774812,22.0,park_age,0.3424453437328338,power,0.5488691926002502,wind_speed_h127,0.5530717968940735,True
03366,Vestas V80-1.8,80.0,78,4.0,25.0,15.0,2.105407255304586,406.0,cut_in,0.2150908708572387,power,0.5531337857246399,wind_speed_h127,0.4924067258834839,True
03158,Vestas V80-1.8,80.0,78,4.0,25.0,15.0,22.431211498973305,12.0,cut_out,0.5148776769638062,power,0.5700904726982117,wind_speed_h127,0.5339421629905701,True
03362,Vestas V80-1.8,80.0,78,4.0,25.0,15.0,19.5564681724846,243.0,rotor_diameter,0.4137436151504516,power,0.5944002270698547,wind_speed_h127,0.5149310827255249,True
